"","V1","V2","V3","V4","linenumber"
"1785","","","","",23
"1450","Federal Register Citation for Final Rule: None","","","",24
"1451","National Highway Traffic Safety Administration","","","",1
"1454","Popular Title: Fuel Economy Vehicle Labeling","","Vehicle Labeling - Fuel Economy, Greenhouse Gas and Other Emissions","Green",2
"14551","RIN 2127-AK73","","","",3
"1456","Stage: NPRM","","","",4
"1457","Previous Stage:None","","","",5
"14581","Abstract: This rulemaking would respond to requirements of the Energy Independence and Security Act of 2007 (EISA), Title 1, Subtitle A, Section 105, as it amends 49 USC å_ 32908, to implement regulations to display new information on the vehicle label that would make it easy for consumers to compare fuel economy, greenhouse gas and other emissions of automobiles at the point of purchase. EISA, signed into Law on December 19, 2007, requires that the Secretary issue a final rule not later than 42 months after the date of the enactment.","","","",6
"1459","Effects:","","","",7
"1460","EU NAFTA","EU NAFTA","","",8
"1461","Foreign","Foreign","","",9
"13101","","","","",10
"13701","","","","",11
"14311","","","","",12
"14922","","","","",13
"1553","","","","",14
"14621","Prompting action: Statute","","","",15
"1463","Legal Deadline: Final rule : 06/19/2011 Rulemaking Project Initiated: 12/19/2007 Docket Number: NHTSA-2010-0087 Dates for NPRM:","","","",16
"1444","Rulemaking Project Initiated: Unknown","","","",17
"14582","Docket Number: Unknown","","","",18
"1635","Dates for Unknown","","","",19
"14701","Explanation for any delay: N/A Federal Register Citation for NPRM: 75 FR 58077  ","","","",20
"1694","","","","",21
"1754","","","","",22
"1815","","","","",23
"1471","Federal Register Citation for NPRM: 75 FR 58077","","","",24
"1472","National Highway Traffic Safety Administration","","","",1
"1475","Popular Title: Medium- and Heavy-Duty Truck Fuel Efficiency","","Commercial Medium- and Heavy-Duty On-Highway Vehicles and Work Truck Fuel Efficiency Standards","Green",2
"14761","RIN 2127-AK74","","","",3
"1477","Stage: NPRM","","","",4
"14781","Previous Stage:None","","","",5
"1479","Abstract: This rulemaking would respond to requirements of the Energy Policy and Conservation Act, as amended by the Energy Independence and Security Act of 2007. The statute requires that rulemaking begin with a report by the National Academy of Sciences evaluating medium-duty and heavy-duty truck fuel economy standards. The National Academy provided Congress and NHTSA with this report on March 18, 2010. EISA then requires that NHTSA complete a study that examines the fuel efficiency of commercial medium- and heavy-duty on-highway vehicles and work trucks and determines the appropriate test procedures and methodologies for measuring the fuel efficiency of such vehicles, the appropriate metric for measuring the fuel efficiency of such vehicles, the range of factors that affect the fuel efficiency of these vehicles, and other factors that could impact a program to improve the fuel efficiency of these vehicles. The NHTSA study was issued October 25, 2010. Once that study is completed, NHTSA has 24 months to complete a final rule establishing a fuel efficiency program for these vehicles. The law provides that the new standards must provide at least 4 full model years of regulatory leadtime and 3 full model years of regulatory stability (i.e., the standards must remain in effect for 3 years before they may be amended). On May 21, 2010, President Obama issued a memorandum directing NHTSA and EPA conduct a joint rulemaking (NHTSA regulating fuel efficiency and EPA regulating greenhouse gas emissions), and to issue a final rule by July 30, 2011.","","","",6
"1480","Effects:","","","",7
"1481","Economically Significant Major","Economically Significant Major","","",8
"1482","Unfunded Mandate EIS","Unfunded Mandate EIS","","",9
"1483","EU NAFTA","EU NAFTA","","",10
"1484","Foreign","Foreign","","",11
"1453","","","","",12
"1515","","","","",13
"15772","","","","",14
"1485","Prompting action: Statute","","","",15
"1486","Legal Deadline: NHTSA Study : 09/30/2010","","","",16
"1487","Final rule : 09/28/2012 Rulemaking Project Initiated: 12/19/2007 Docket Number:","","","",17
"1633","Docket Number: Unknown","","","",18
"1488","Dates for NPRM:","","","",19
"1495","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: 75 FR 74151  ","","","",20
"1722","","","","",21
"1783","","","","",22
"1845","","","","",23
"1496","Federal Register Citation for NPRM: 75 FR 74151","","","",24
"1497","National Highway Traffic Safety Administration","","","",1
"1500","Popular Title: Alternative Fuel Badges, Labels and Consumer Info","","Alternative Fuel Vehicle Badging, Fuel Compartment Labels and Consumer Information on Alternative Fuel Usage","Red",2
"15011","RIN 2127-AK75","","","",3
"1502","Stage: NPRM","","","",4
"1503","Previous Stage:None","","","",5
"15041","Abstract: This rulemaking would respond to requirements of the Energy Independence and Security Act of 2007 (EISA), Title 1, Subtitle A, Section 105, as it amends 49 USC å_ 32908, to implement Consumer Information and Consumer Education programs related to fuel economy, GHG, other emissions, and alternative fuels. EISA directs the Secretary of Transportation to label vehicles with a permanent and prominent display that an automobile is capable of operating on alternative fuels, and to include in the ownerå«s manual for vehicles capable of operating on alternative fuels information that describes that capability and the benefits of using alternative fuels, including the renewable nature and environmental benefits of using alternative fuels. Additionally, EISA requires a label to be attached to the fuel compartment of vehicles capable of operating on alternative fuels, with the form of alternative fuel stated on the label. EISA, signed into Law on December 19, 2007, requires that the Secretary issue a final rule not later than 42 months after the date of the enactment.","","","",6
"1505","Effects:","","","",7
"1506","EU NAFTA","EU NAFTA","","",8
"1507","Foreign","Foreign","","",9
"13531","","","","",10
"14141","","","","",11
"14771","","","","",12
"1540","","","","",13
"1603","","","","",14
"1508","Prompting action: Statute","","","",15
"1509","Legal Deadline: Final rule : 06/19/2011 Rulemaking Project Initiated: 12/19/2007 Docket Number:","","","",16
"1628","Rulemaking Project Initiated: Unknown","","","",17
"1660","Docket Number: Unknown","","","",18
"1510","Dates for NPRM:","","","",19
"1517","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None  ","","","",20
"1750","","","","",21
"1812","","","","",22
"1875","","","","",23
"1518","Federal Register Citation for NPRM: None","","","",24
"1519","National Highway Traffic Safety Administration","","","",1
"1522","Popular Title: Tire Efficiency Consumer Information Labelling","","Tire Fuel Efficiency Consumer Information - Part 2","Green",2
"1523","RIN 2127-AK76","","","",3
"1524","Stage: NPRM","","","",4
"1525","Previous Stage:None","","","",5
"1526","Abstract: This rulemaking would respond to requirements of the Energy Independence & Security Act of 2007 to establish a national tire fuel efficiency consumer information program for replacement tires designed for use on motor vehicles. On March 30, 2010, NHTSA published a final rule specifying the test procedures to be used to rate the performance of replacement passenger car tires for this new program (75 FR 15893). This rulemaking would address how this information would be made available to consumers.","","","",6
"1527","Effects:","","","",7
"15281","EU NAFTA","EU NAFTA","","",8
"15291","Foreign","Foreign","","",9
"13741","","","","",10
"14361","","","","",11
"15001","","","","",12
"1564","","","","",13
"16281","","","","",14
"15301","Prompting action: Statute","","","",15
"1531","Legal Deadline: None","","","",16
"1532","Rulemaking Project Initiated: 12/19/2007","","","",17
"1533","Docket Number: Dates for NPRM:","","","",18
"1716","Dates for Unknown","","","",19
"15401","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"1778","","","","",21
"1841","","","","",22
"1905","","","","",23
"1541","Federal Register Citation for NPRM: None","","","",24
"1542","National Highway Traffic Safety Administration","","","",1
"1545","Popular Title: CAFE 2017 and Beyond","","Passenger Car and Light Truck Corporate Average Fuel Economy Standards MYs 2017 and Beyond","Green",2
"1546","RIN 2127-AK79","","","",3
"1547","Stage: Supplemental Notice of Intent","","","",4
"1548","Previous Stage: Notice of Intent: Published 10/13/2010.","","","",5
"1549","Abstract: This rulemaking would establish Corporate Average Fuel Economy (CAFE) standards for light trucks and passenger cars for model years 2017 and beyond. This rulemaking would respond to requirements of the Energy Policy and Conservation Act, as amended by the Energy Independence and Security Act of 2007. The statute requires that CAFE standards be prescribed separately for passenger automobiles and non-passenger automobiles to achieve a combined fleet fuel economy of at least 35 mpg by model year 2020. For model years 2021 and beyond, the statute requires that the average fuel economy required to be attained by each fleet of passenger and non-passenger automobiles be the maximum feasible for each model year. The law requires the standards be set at least 18 months prior to the start of the model year. On May 21, 2010, President Obama issued a memorandum directing NHTSA and EPA to conduct a joint rulemaking (NHTSA regulating fuel economy and EPA regulating greenhouse gas emissions), and to issue a Notice of Intent to Issue a Proposed Rule (NOI) by September 30, 2010.","","","",6
"1552","Effects:","","","",7
"15531","Economically Significant Major","Economically Significant Major","","",8
"15541","EIS EU","EIS EU","","",9
"1555","NAFTA","NAFTA","","",10
"15561","Foreign","Foreign","","",11
"15241","","","","",12
"1589","","","","",13
"1654","","","","",14
"15571","Prompting action: Statute","","","",15
"1558","Legal Deadline: Final rule: : 04/01/2015 Rulemaking Project Initiated: 12/19/2007 Docket Number: NHTSA-2010-0131 Dates for Supplemental Notice of Intent:","","","",16
"1539","Rulemaking Project Initiated: Unknown","","","",17
"15542","Docket Number: Unknown","","","",18
"1743","Dates for Unknown","","","",19
"15641","Explanation for any delay: N/A Federal Register Citation for Supplemental Notice of Intent: 75 FR 76337  ","","","",20
"1805","","","","",21
"1869","","","","",22
"1934","","","","",23
"1565","Federal Register Citation for Supplemental Notice of Intent: 75 FR 76337","","","",24
"1566","Office of the Secretary","","","",1
"1570","Popular Title: Accessibility-passenger vessels","","Accessibility of Passenger Vessels to Individuals with Disabilities","Green",2
"1571","RIN 2105-AB87","","","",3
"1572","Stage: Notice","","","",4
"1573","Previous Stage: ANPRM: Publication Date 11/29/2004;End of Comment Period 03/28/2005;Publication Date for Extension of Comment Period 03/28/2005;End of Extended Comment Period 07/28/2005. NPRM: Publication Date 1/23/2007; End of Comment Period 4/23/2007; Extension of Comment Period 4/13/2007; End of Extended Comment Period 6/22/2007; Reopening of Comment Period 4/8/2006; End of Reopened Comment Period 4/23/2008. Final Rule: Publication Approved 06/16/2010;Publication Date 07/06/2010;End  of Comment Period 10/04/2010.","","","",5
"1574","Abstract: The final rule published on July 6, 2020, asked for additional comment on requirements to make passenger vessels accessible to, and usable by, individuals with disabilities.This notice responds to those comments and made certain adjustments in effective dates for the final rule.","","","",6
"1575","Effects:","","","",7
"1576","EU NAFTA","EU NAFTA","","",8
"15771","Foreign","Foreign","","",9
"14161","","","","",10
"14791","","","","",11
"15451","","","","",12
"16111","","","","",13
"1677","","","","",14
"1578","Prompting action: Statute","","","",15
"1579","Legal Deadline: None NA NA NA Legal Deadline: None NA","","","",16
"1704","Rulemaking Project Initiated: Unknown","","","",17
"1738","Docket Number: Unknown","","","",18
"1769","Dates for Unknown","","","",19
"NA",NA,NA,NA,NA,20
"15791","Legal Deadline: None NA","","","",21
